47 Cherry St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
20 Holyoke Rd,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
64 Porter St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
165 Albion St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
435 Medford St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
6 Williams Ct,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
9 Gilson Ter,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
246 Summer St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
85 Partridge Ave,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
128 Boston Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
121 Albion St,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
39 Warwick St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
53 Skyhill Rd,Apt. 202,Alexandria,VA,22314,,,,,,,,,,,,,,,,,
82 Highland Rd,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
511 Medford St,A,Somerville,MA,2145,,,,,,,,,,,,,,,,,
21 LINDEN Ave,,,MA,2143,,,,,,,,,,,,,,,,,
180 Cedar St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
114 Bartlett St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
29 Main St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
41 Main St,7,Somerville,MA,2145,,,,,,,,,,,,,,,,,
70 Hudson St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
21 Lexington Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
17 Nashua St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
111 Glenwood Rd,#2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
44 Lexington Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
127 Hudson St,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
50 PORTER St,Unit 1,,MA,2143,,,,,,,,,,,,,,,,,
44 Tennyson St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
256 Summer St,3,Somerville,MA,2143,,,,,,,,,,,,,,,,,
9 Nashua St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
84 Partridge Ave,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
30 Murdock St,3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
23 Elm St,109,Somerville,MA,2143,,,,,,,,,,,,,,,,,
116 Glenwood Rd,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
44 Pearson Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
94 Prichard Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
86 Elm St,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
13 Bartlett St,3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
11 Mossland St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
10 Roberts St,23,Somerville,MA,2145,,,,,,,,,,,,,,,,,
181 Hudson St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
189 Cedar St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
11 Spencer Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
94 CEDAR ST A A,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
57 ELM St,,,MA,2144,,,,,,,,,,,,,,,,,
98 Rogers Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
225 Cedar St,1F,Somerville,MA,2145,,,,,,,,,,,,,,,,,
561 Broadway,3C,Somerville,MA,2145,,,,,,,,,,,,,,,,,
189 Cedar St,3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
165 Beacon St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
36 Warwick St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
42 ADAMS St,Unit 2,,MA,2145,,,,,,,,,,,,,,,,,
341 Lowell St,3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
55 Albion St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
35 Albion St,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
167 Highland Ave,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
7 Gilson Ter,3,Somerville,MA,2143,,,,,,,,,,,,,,,,,
469 Medford St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
18 Pearson Ave,2,Somerville,MA,2144,,,,,,,,,,,,,,,,,
14 Murdock St,5-Feb,Somerville,MA,2145,,,,,,,,,,,,,,,,,
197 Highland Ave,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
543 Broadway,3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
32 Warwick St,B,Somerville,MA,2145,,,,,,,,,,,,,,,,,
154 Central St,12,Somerville,MA,2145,,,,,,,,,,,,,,,,,
17 Prichard Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
16 RICHARDSON St,Unit 2,,MA,2145,,,,,,,,,,,,,,,,,
74 Rogers Ave,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
279 Summer St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
20 Woodbine St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
169 Highland Ave,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
49 Princeton St,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
8 Williams Ct,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
6 Glenwood Rd,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
42 Murdock St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
6 Berwick St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
270 Highland Ave,57,Somerville,MA,2143,,,,,,,,,,,,,,,,,
81 Bartlett St,1,Somerville,MA,2145,,,,,,,,,,,,,,,,,
212 Cedar St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
336 Lowell St,3,Somerville,MA,2145,,,,,,,,,,,,,,,,,
33 Highland Rd,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
209 Cedar St,2,Somerville,MA,2145,,,,,,,,,,,,,,,,,
11 Linden Pl,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
249 Summer St,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
239 Summer St,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
14 Cedar St,1,Somerville,MA,2143,,,,,,,,,,,,,,,,,
82 Albion St,2,Somerville,MA,2143,,,,,,,,,,,,,,,,,
8 Centre St,,Somerville,MA,2143,,,,,,,,,,,,,,,,,
97 Rogers Ave,1,Somerville,MA,2144,,,,,,,,,,,,,,,,,
99 Albion St,,Somerville,MA,2144,,,,,,,,,,,,,,,,,
9 Trull St,,Somerville,MA,2145,,,,,,,,,,,,,,,,,
140 Hudson St,202,Somerville,MA,2144,,,,,,,,,,,,,,,,,
